"State","County","Year","Days with AQI","Good Days","Moderate Days","Unhealthy for Sensitive Groups Days","Unhealthy Days","Very Unhealthy Days","Hazardous Days","Max AQI","90th Percentile AQI","Median AQI","Days CO","Days NO2","Days Ozone","Days SO2","Days PM2.5","Days PM10"
"Alabama","DeKalb",2021,58,58,0,0,0,0,0,49,42,32,0,0,58,0,0,0
"Alabama","Jefferson",2021,60,33,27,0,0,0,0,93,64,50,1,1,2,0,55,1
"Alaska","Denali ",2021,59,59,0,0,0,0,0,43,41,39,0,0,59,0,0,0
"Arizona","Apache",2021,87,87,0,0,0,0,0,25,19,11,0,0,0,0,1,86
"Arizona","Cochise",2021,90,77,12,1,0,0,0,104,54,41,0,0,48,0,0,42
"Arizona","Coconino",2021,89,87,2,0,0,0,0,51,45,41,0,0,89,0,0,0
"Arizona","Gila",2021,90,76,14,0,0,0,0,80,58,44,0,0,77,8,0,5
"Arizona","La Paz",2021,90,85,5,0,0,0,0,61,49,42,0,0,90,0,0,0
"Arizona","Maricopa",2021,120,6,22,21,33,38,0,272,217,166,0,1,95,0,8,16
"Arizona","Mohave",2021,90,90,0,0,0,0,0,46,22,12,0,0,0,0,0,90
"Arizona","Navajo",2021,90,90,0,0,0,0,0,45,43,35,0,0,59,0,0,31
"Arizona","Pima",2021,90,57,28,5,0,0,0,128,72,45,0,0,0,0,0,90
"Arizona","Pinal",2021,120,84,36,0,0,0,0,90,67,47,0,0,109,0,0,11
"Arizona","Santa Cruz",2021,90,47,42,0,1,0,0,166,76,47,0,0,0,0,63,27
"Arizona","Yavapai",2021,57,50,7,0,0,0,0,64,51,44,0,0,57,0,0,0
"Arizona","Yuma",2021,90,74,16,0,0,0,0,94,58,44,0,0,61,0,8,21
"Arkansas","Arkansas",2021,30,28,2,0,0,0,0,56,44,28,0,0,0,0,30,0
"Arkansas","Ashley",2021,28,27,1,0,0,0,0,51,43,30,0,0,0,0,28,0
"Arkansas","Clark",2021,58,57,1,0,0,0,0,54,37,30,0,0,58,0,0,0
"Arkansas","Crittenden",2021,90,80,10,0,0,0,0,62,52,33,0,5,46,0,39,0
"Arkansas","Garland",2021,29,26,3,0,0,0,0,52,51,27,0,0,0,0,29,0
"Arkansas","Jackson",2021,28,26,2,0,0,0,0,56,47,28,0,0,0,0,28,0
"Arkansas","Newton",2021,90,89,1,0,0,0,0,51,46,34,0,0,90,0,0,0
"Arkansas","Polk",2021,90,86,4,0,0,0,0,64,47,36,0,0,81,0,9,0
"Arkansas","Pulaski",2021,91,67,24,0,0,0,0,100,56,40,1,6,23,0,61,0
"Arkansas","Union",2021,25,22,3,0,0,0,0,54,51,32,0,0,0,0,25,0
"Arkansas","Washington",2021,90,80,10,0,0,0,0,81,51,36,0,0,62,0,28,0
"California","Colusa",2021,108,108,0,0,0,0,0,47,29,13,0,0,0,0,108,0
"California","Fresno",2021,59,39,19,0,0,1,0,278,71,37,0,0,34,0,22,3
"California","Imperial",2021,34,32,2,0,0,0,0,53,45,31,0,0,0,0,34,0
"California","Inyo",2021,120,120,0,0,0,0,0,48,42,29,0,0,56,0,30,34
"California","Kern",2021,32,8,13,10,1,0,0,152,143,92,0,0,0,0,30,2
"California","Kings",2021,120,103,17,0,0,0,0,77,53,35,0,0,69,0,0,51
"California","Mariposa",2021,59,58,1,0,0,0,0,67,44,40,0,0,59,0,0,0
"California","Merced",2021,2,2,0,0,0,0,0,18,18,18,0,0,0,0,0,2
"California","Monterey",2021,91,89,2,0,0,0,0,67,44,37,1,0,78,0,11,1
"California","Nevada",2021,120,112,8,0,0,0,0,62,48,38,0,0,64,0,56,0
"California","Plumas",2021,120,26,76,18,0,0,0,133,115,65,0,0,0,0,120,0
"California","Riverside",2021,90,65,22,1,2,0,0,196,68,43,0,0,65,0,5,20
"California","Sacramento",2021,32,15,17,0,0,0,0,92,80,53,1,0,6,0,25,0
"California","San Benito",2021,90,89,1,0,0,0,0,61,43,37,0,0,88,0,1,1
"California","San Bernardino",2021,58,55,3,0,0,0,0,51,46,40,0,0,58,0,0,0
"California","Santa Barbara",2021,32,29,3,0,0,0,0,53,49,39,1,0,16,0,14,1
"California","Santa Cruz",2021,90,81,9,0,0,0,0,73,53,36,0,0,65,0,25,0
"California","Shasta",2021,59,57,2,0,0,0,0,54,45,39,0,0,59,0,0,0
"California","Solano",2021,3,3,0,0,0,0,0,10,10,5,0,0,0,0,0,3
"California","Stanislaus",2021,2,2,0,0,0,0,0,22,22,22,0,0,0,0,0,2
"California","Tehama",2021,2,2,0,0,0,0,0,4,4,4,0,0,0,0,0,2
"California","Tulare",2021,59,59,0,0,0,0,0,48,44,33,0,0,59,0,0,0
"California","Ventura",2021,90,77,12,1,0,0,0,117,54,42,0,0,76,0,10,4
"California","Yolo",2021,6,6,0,0,0,0,0,21,21,6,0,0,0,0,0,6
"Colorado","Adams",2021,89,79,10,0,0,0,0,73,52,37,2,32,25,0,3,27
"Colorado","Arapahoe",2021,54,50,4,0,0,0,0,86,44,35,0,0,28,0,26,0
"Colorado","Archuleta",2021,54,53,1,0,0,0,0,51,42,35,0,0,30,0,0,24
"Colorado","Boulder",2021,54,48,5,1,0,0,0,116,55,33,0,0,27,0,25,2
"Colorado","Clear Creek",2021,54,51,3,0,0,0,0,54,48,45,0,0,54,0,0,0
"Colorado","Denver",2021,99,67,31,1,0,0,0,109,69,43,0,36,4,0,56,3
"Colorado","Douglas",2021,53,50,3,0,0,0,0,69,43,30,0,0,27,0,26,0
"Colorado","El Paso",2021,61,61,0,0,0,0,0,46,44,39,0,0,59,0,0,2
"Colorado","Fremont",2021,5,5,0,0,0,0,0,19,19,9,0,0,0,0,0,5
"Colorado","Garfield",2021,90,90,0,0,0,0,0,49,43,36,0,0,90,0,0,0
"Colorado","Gilpin",2021,31,31,0,0,0,0,0,46,44,42,0,0,31,0,0,0
"Colorado","Gunnison",2021,59,59,0,0,0,0,0,50,46,44,0,0,59,0,0,0
"Colorado","Jefferson",2021,59,59,0,0,0,0,0,46,44,41,0,4,55,0,0,0
"Colorado","La Plata",2021,59,59,0,0,0,0,0,49,45,41,0,2,57,0,0,0
"Colorado","Larimer",2021,59,58,1,0,0,0,0,61,49,45,0,0,59,0,0,0
"Colorado","Mesa",2021,93,93,0,0,0,0,0,49,44,38,0,0,88,0,0,5
"Colorado","Montezuma",2021,90,89,1,0,0,0,0,51,44,42,0,0,90,0,0,0
"Colorado","Pitkin",2021,8,8,0,0,0,0,0,9,9,8,0,0,0,0,0,8
"Colorado","Prowers",2021,58,56,0,1,0,0,1,576,34,14,0,0,0,0,0,58
"Colorado","Pueblo",2021,25,25,0,0,0,0,0,49,40,16,0,0,0,0,20,5
"Colorado","Rio Blanco",2021,59,56,3,0,0,0,0,53,43,39,0,0,50,0,9,0
"Colorado","Routt",2021,52,51,1,0,0,0,0,51,32,14,0,0,0,0,0,52
"Colorado","San Miguel",2021,21,20,1,0,0,0,0,51,24,6,0,0,0,0,0,21
"Colorado","Weld",2021,69,66,2,0,1,0,0,160,43,31,1,9,44,0,15,0
"Connecticut","Windham",2021,58,58,0,0,0,0,0,43,40,33,0,0,58,0,0,0
"Country Of Mexico","BAJA CALIFORNIA NORTE",2021,90,18,44,16,12,0,0,166,153,80,0,0,0,0,90,0
"Florida","Indian River",2021,57,55,2,0,0,0,0,71,47,38,0,0,57,0,0,0
"Florida","Liberty",2021,58,58,0,0,0,0,0,44,42,31,0,0,58,0,0,0
"Georgia","Bibb",2021,59,51,8,0,0,0,0,78,62,29,0,0,0,0,59,0
"Georgia","Chatham",2021,59,49,10,0,0,0,0,70,55,35,0,0,0,7,52,0
"Georgia","Clarke",2021,59,45,14,0,0,0,0,68,58,34,0,0,0,0,59,0
"Georgia","Clayton",2021,11,11,0,0,0,0,0,49,45,30,0,0,0,0,11,0
"Georgia","Cobb",2021,11,8,3,0,0,0,0,56,54,36,0,0,0,0,11,0
"Georgia","Coffee",2021,11,11,0,0,0,0,0,41,39,26,0,0,0,0,11,0
"Georgia","DeKalb",2021,90,77,13,0,0,0,0,66,53,36,0,43,6,0,41,0
"Georgia","Dougherty",2021,59,46,13,0,0,0,0,92,70,35,0,0,0,0,59,0
"Georgia","Floyd",2021,59,56,3,0,0,0,0,73,46,22,0,0,0,0,59,0
"Georgia","Fulton",2021,90,76,14,0,0,0,0,68,54,36,0,38,0,0,52,0
"Georgia","Glynn",2021,10,9,1,0,0,0,0,58,58,31,0,0,0,0,10,0
"Georgia","Gwinnett",2021,27,22,5,0,0,0,0,57,53,32,0,0,0,0,27,0
"Georgia","Hall",2021,59,53,6,0,0,0,0,55,51,30,0,0,0,0,59,0
"Georgia","Henry",2021,58,55,3,0,0,0,0,60,40,19,0,0,0,0,58,0
"Georgia","Houston",2021,59,46,13,0,0,0,0,81,63,35,0,0,0,0,59,0
"Georgia","Lowndes",2021,59,48,11,0,0,0,0,84,60,31,0,0,0,0,59,0
"Georgia","Muscogee",2021,120,105,15,0,0,0,0,73,51,34,0,0,61,0,59,0
"Georgia","Pike",2021,58,56,2,0,0,0,0,54,43,34,0,0,58,0,0,0
"Georgia","Richmond",2021,59,39,18,2,0,0,0,145,70,41,0,0,0,2,57,0
"Georgia","Rockdale",2021,61,54,7,0,0,0,0,80,58,43,0,0,61,0,0,0
"Georgia","Sumter",2021,61,53,8,0,0,0,0,74,51,42,0,0,61,0,0,0
"Georgia","Washington",2021,59,49,10,0,0,0,0,83,55,32,0,0,0,0,59,0
"Hawaii","Hawaii",2021,59,45,9,4,1,0,0,178,92,8,0,0,0,20,39,0
"Idaho","Butte",2021,59,59,0,0,0,0,0,48,44,38,0,0,59,0,0,0
"Idaho","Idaho",2021,90,76,14,0,0,0,0,79,55,34,0,0,20,0,70,0
"Idaho","Nez Perce",2021,90,86,4,0,0,0,0,61,35,15,0,0,0,0,90,0
"Illinois","Adams",2021,31,30,1,0,0,0,0,58,49,40,0,0,31,0,0,0
"Illinois","Champaign",2021,90,73,17,0,0,0,0,78,58,37,0,0,38,0,52,0
"Illinois","Clark",2021,90,88,2,0,0,0,0,58,44,32,0,0,90,0,0,0
"Illinois","Cook",2021,92,34,58,0,0,0,0,100,70,54,0,10,8,0,71,3
"Illinois","DuPage",2021,90,55,35,0,0,0,0,94,62,46,0,0,13,0,77,0
"Illinois","Effingham",2021,31,30,1,0,0,0,0,54,44,38,0,0,31,0,0,0
"Illinois","Hamilton",2021,90,75,15,0,0,0,0,68,55,37,0,0,28,0,62,0
"Illinois","Jersey",2021,87,79,8,0,0,0,0,66,50,37,0,0,24,0,63,0
"Illinois","Jo Daviess",2021,59,58,1,0,0,0,0,54,44,32,0,0,59,0,0,0
"Illinois","Kane",2021,52,38,14,0,0,0,0,64,58,39,0,0,25,0,27,0
"Illinois","La Salle",2021,84,84,0,0,0,0,0,7,3,1,0,0,0,84,0,0
"Illinois","Lake",2021,31,30,1,0,0,0,0,61,46,41,0,0,31,0,0,0
"Illinois","Macon",2021,90,72,18,0,0,0,0,75,58,39,0,0,19,1,70,0
"Illinois","Macoupin",2021,90,90,0,0,0,0,0,49,43,6,0,59,31,0,0,0
"Illinois","Madison",2021,90,51,39,0,0,0,0,75,66,48,0,0,17,0,73,0
"Illinois","McHenry",2021,88,70,18,0,0,0,0,80,56,39,0,0,16,0,72,0
"Illinois","McLean",2021,90,66,24,0,0,0,0,71,58,40,0,0,13,0,77,0
"Illinois","Monroe",2021,90,90,0,0,0,0,0,29,10,3,0,0,0,90,0,0
"Illinois","Peoria",2021,86,63,23,0,0,0,0,72,58,39,0,0,15,0,71,0
"Illinois","Randolph",2021,90,76,14,0,0,0,0,66,54,37,0,0,27,0,63,0
"Illinois","Rock Island",2021,86,68,18,0,0,0,0,78,59,38,0,0,14,0,72,0
"Illinois","Saint Clair",2021,90,69,21,0,0,0,0,65,55,42,0,3,12,0,75,0
"Illinois","Sangamon",2021,89,74,15,0,0,0,0,64,55,34,0,0,18,0,71,0
"Illinois","Tazewell",2021,86,86,0,0,0,0,0,19,6,1,0,0,0,86,0,0
"Illinois","Wabash",2021,90,90,0,0,0,0,0,24,4,1,0,0,0,90,0,0
"Illinois","Will",2021,90,52,38,0,0,0,0,84,62,46,0,0,13,0,77,0
"Illinois","Winnebago",2021,86,54,32,0,0,0,0,95,70,45,0,0,17,0,69,0
"Indiana","Allen",2021,90,77,13,0,0,0,0,75,53,36,0,0,62,0,28,0
"Indiana","Bartholomew",2021,120,106,14,0,0,0,0,74,54,38,0,0,89,0,31,0
"Indiana","Boone",2021,90,90,0,0,0,0,0,44,39,30,0,0,90,0,0,0
"Indiana","Brown",2021,120,113,7,0,0,0,0,77,49,35,0,0,120,0,0,0
"Indiana","Carroll",2021,120,116,4,0,0,0,0,64,45,34,0,0,120,0,0,0
"Indiana","Clark",2021,90,65,25,0,0,0,0,88,67,42,0,0,36,0,54,0
"Indiana","Delaware",2021,117,105,12,0,0,0,0,84,51,37,0,0,101,0,16,0
"Indiana","Dubois",2021,31,23,8,0,0,0,0,83,60,35,0,0,0,0,30,1
"Indiana","Elkhart",2021,90,76,14,0,0,0,0,84,54,35,0,0,66,0,24,0
"Indiana","Floyd",2021,90,90,0,0,0,0,0,49,42,31,0,0,88,2,0,0
"Indiana","Gibson",2021,90,89,1,0,0,0,0,51,16,1,0,0,0,90,0,0
"Indiana","Greene",2021,88,81,7,0,0,0,0,72,48,33,0,0,76,0,12,0
"Indiana","Hamilton",2021,90,74,16,0,0,0,0,74,58,38,0,0,45,0,45,0
"Indiana","Hendricks",2021,120,117,3,0,0,0,0,64,44,32,0,0,120,0,0,0
"Indiana","Henry",2021,28,23,5,0,0,0,0,76,60,33,0,0,0,0,28,0
"Indiana","Howard",2021,90,73,17,0,0,0,0,78,54,39,0,0,51,0,39,0
"Indiana","Knox",2021,59,59,0,0,0,0,0,50,42,30,0,0,59,0,0,0
"Indiana","LaPorte",2021,90,80,10,0,0,0,0,72,51,35,0,0,77,0,13,0
"Indiana","Lake",2021,90,46,42,2,0,0,0,104,71,49,0,0,25,4,61,0
"Indiana","Madison",2021,120,92,28,0,0,0,0,86,60,41,0,0,71,0,49,0
"Indiana","Marion",2021,120,75,45,0,0,0,0,98,70,45,0,2,56,0,62,0
"Indiana","Monroe",2021,65,53,12,0,0,0,0,75,60,31,0,0,0,0,65,0
"Indiana","Perry",2021,90,88,2,0,0,0,0,58,45,31,0,0,90,0,0,0
"Indiana","Porter",2021,90,77,13,0,0,0,0,83,60,38,0,0,50,10,30,0
"Indiana","Posey",2021,90,90,0,0,0,0,0,46,40,28,0,0,90,0,0,0
"Indiana","Shelby",2021,120,119,1,0,0,0,0,61,44,32,0,0,120,0,0,0
"Indiana","Spencer",2021,30,22,8,0,0,0,0,82,66,30,0,0,0,0,30,0
"Indiana","St. Joseph",2021,90,61,29,0,0,0,0,99,64,42,0,1,43,0,46,0
"Indiana","Tippecanoe",2021,59,40,19,0,0,0,0,82,69,44,0,0,0,0,59,0
"Indiana","Vanderburgh",2021,90,72,18,0,0,0,0,89,60,41,0,0,43,0,47,0
"Indiana","Vigo",2021,90,76,14,0,0,0,0,74,60,38,0,0,49,0,41,0
"Indiana","Wabash",2021,59,58,1,0,0,0,0,61,44,31,0,0,59,0,0,0
"Indiana","Warrick",2021,90,90,0,0,0,0,0,49,44,31,0,0,88,2,0,0
"Indiana","Whitley",2021,67,48,19,0,0,0,0,79,60,37,0,0,0,0,67,0
"Iowa","Black Hawk",2021,120,82,38,0,0,0,0,90,66,41,0,0,0,0,120,0
"Iowa","Bremer",2021,60,57,3,0,0,0,0,77,46,37,0,0,60,0,0,0
"Iowa","Cerro Gordo",2021,30,30,0,0,0,0,0,31,24,16,0,0,0,0,0,30
"Iowa","Clinton",2021,120,58,60,2,0,0,0,112,70,51,0,0,24,0,96,0
"Iowa","Harrison",2021,61,58,3,0,0,0,0,64,47,39,0,0,61,0,0,0
"Iowa","Johnson",2021,109,59,49,1,0,0,0,107,69,47,0,0,0,0,109,0
"Iowa","Lee",2021,23,16,7,0,0,0,0,69,60,33,0,0,0,0,23,0
"Iowa","Linn",2021,120,66,51,3,0,0,0,123,67,47,0,0,26,1,93,0
"Iowa","Montgomery",2021,120,100,20,0,0,0,0,81,61,37,0,0,42,0,78,0
"Iowa","Muscatine",2021,120,82,38,0,0,0,0,88,64,41,0,0,0,0,120,0
"Iowa","Palo Alto",2021,120,90,30,0,0,0,0,80,61,39,0,0,38,0,82,0
"Iowa","Polk",2021,120,93,27,0,0,0,0,82,66,39,0,5,38,0,77,0
"Iowa","Pottawattamie",2021,31,21,10,0,0,0,0,76,65,35,0,0,0,0,31,0
"Iowa","Scott",2021,121,66,55,0,0,0,0,98,66,50,1,0,35,0,72,13
"Iowa","Van Buren",2021,118,94,24,0,0,0,0,81,58,39,0,0,47,0,71,0
"Iowa","Woodbury",2021,30,21,9,0,0,0,0,79,72,37,0,0,0,0,30,0
"Kentucky","Edmonson",2021,60,60,0,0,0,0,0,46,40,30,3,0,57,0,0,0
"Kentucky","Morgan",2021,54,54,0,0,0,0,0,50,38,31,0,0,54,0,0,0
"Kentucky","Trigg",2021,59,58,1,0,0,0,0,58,43,31,0,0,59,0,0,0
"Kentucky","Washington",2021,58,58,0,0,0,0,0,48,41,32,0,0,58,0,0,0
"Louisiana","Ascension",2021,90,90,0,0,0,0,0,44,42,30,0,3,87,0,0,0
"Louisiana","Bossier",2021,90,84,6,0,0,0,0,62,50,38,0,0,48,0,38,4
"Louisiana","Caddo",2021,89,87,2,0,0,0,0,64,44,34,0,0,89,0,0,0
"Louisiana","Calcasieu",2021,90,71,19,0,0,0,0,74,54,42,0,0,37,1,52,0
"Louisiana","East Baton Rouge",2021,91,84,7,0,0,0,0,62,50,35,1,2,56,0,32,0
"Louisiana","Iberville",2021,90,87,3,0,0,0,0,61,48,36,0,0,90,0,0,0
"Louisiana","Jefferson",2021,90,88,2,0,0,0,0,59,44,33,0,1,78,0,11,0
"Louisiana","Lafayette",2021,90,76,14,0,0,0,0,80,52,39,0,0,54,0,35,1
"Louisiana","Lafourche",2021,90,85,5,0,0,0,0,55,47,37,0,0,52,0,38,0
"Louisiana","Livingston",2021,85,80,5,0,0,0,0,64,47,37,0,5,51,0,29,0
"Louisiana","Orleans",2021,91,89,2,0,0,0,0,60,36,23,1,31,0,0,49,10
"Louisiana","Ouachita",2021,72,72,0,0,0,0,0,50,44,31,0,0,72,0,0,0
"Louisiana","Pointe Coupee",2021,90,89,1,0,0,0,0,54,44,31,0,0,90,0,0,0
"Louisiana","St. Bernard",2021,90,80,9,1,0,0,0,106,52,40,0,0,50,5,34,1
